,mode,idx,question,gt_answer,op_type,final_answer,correct,strategy,confidence,correct_votes,total_votes,vote_consistency,wasted_votes,refiner_used,refiner_correct,vote_counts,plan,fineTunedOn,guideModel
0,guided,0,"He also has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?",441,Multiplication,9,False,majority,0.6667,1,3,0.3333,1,False,,"{'9': 2, '441': 1}",Step 1: Booklet pages * Number of booklets = Total pages.,ASDIV,QWEN
1,guided,1,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree How many more flew up to the tree?,13,Subtraction,42,False,coin_flip,0.3333,2,6,0.3333,4,True,False,"{'42': 2, '13': 2, '23': 1, '29': 1}",Step 1: Initial + More = Total ➔ 29 + ? = 42,ASDIV,QWEN
2,guided,2,Terry cut a rope 35 inches long into two pieces in the ratio 3:4 What is the length of the longer piece?,20,Multi-step,7,False,majority,0.6667,1,3,0.3333,1,False,,"{'20': 1, '7': 2}",Step 1: Total parts = 3 + 4 = 7,ASDIV,QWEN
3,guided,3,"Ramon works at the supermarket. He put 26 boxes of Choco Delights on the shelf. There were already 15 boxes there. Later that day, Ramon counted 22 boxes on the shelf How many boxes of Choco Delights were missing?",19,Multi-step,19,True,majority,0.6667,2,3,0.6667,1,False,,"{'19': 2, '41': 1}",Step 1: Initial count + New addition = Existing count.,ASDIV,QWEN
4,guided,4,My ice cream shop was really busy today. It was 98 degrees and we sold 67 ice cream cones. We sold 15 more milkshakes than ice cream cones How many milkshakes were sold?,82,Addition,82,True,majority,1.0,4,4,1.0,0,False,,{'82': 4},Step 1: Ice Cream Cones + Additional Milkshakes Sold = Total Milkshakes,ASDIV,QWEN
5,guided,5,"My car gets 20 miles per gallon of gas. If Grandma's house is 100 miles away, how many gallons of gas would it take to get to her house?",5,Division,5,True,majority,1.0,4,4,1.0,0,False,,{'5': 4},Step 1: 100 / 20 = ?,ASDIV,QWEN
6,guided,6,"It usually takes Stanley 10 hours to go around his two favorite places. If he took 10 times longer than the usual, how many hours did it take him to go around the places this time?",100,Multiplication,100,True,majority,1.0,3,3,1.0,0,False,,{'100': 3},Step 1: Usual time × 10 = ?,ASDIV,QWEN
7,guided,7,"Roger is at the library helping put away books. There are fifty-four book to put away total but a librarian takes nineteen of them and leaves Roger with the rest. If he can fit five books on a shelf, how many shelves will he need?",7,Division,7,True,coin_flip,0.5,2,4,0.5,2,True,False,"{'7': 2, '35': 2}",Step 1: Remaining books = Total books - Books taken by librarian,ASDIV,QWEN
8,guided,8,"They also prepared some chips. If he prepared 350 grams of chips and his father prepared 268 grams, how much chips should his brother prepare if they are to have 800 grams of chips?",182,Subtraction,618,False,coin_flip,0.5,0,2,0.0,1,True,False,"{'618': 1, '532': 1}",Step 1: Total needed - What prepared so far = ?,ASDIV,QWEN
9,guided,9,"Paul was packing up his old toys. He managed to squeeze eight toys into a box. If Paul filled up four boxes, how many toys did he pack total?",32,Multiplication,32,True,majority,1.0,3,3,1.0,0,False,,{'32': 3},Step 1: 8 toys/box × 4 boxes = ?,ASDIV,QWEN
10,guided,10,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles How many did she start with?,53,Subtraction,53,True,majority,0.6667,2,3,0.6667,1,False,,"{'53': 2, '187': 1}",Step 1: Bought + Started With = Now Has.,ASDIV,QWEN
11,guided,11,On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week How many stickers did Pat have at the end of the week?,61,Addition,39,False,majority,0.6667,1,3,0.3333,1,False,,"{'39': 2, '61': 1}",Step 1: Initial + Additional = Total.,ASDIV,QWEN
12,guided,12,"For the roof, John would need 2 sets of metal bars for support. If each set has 7 metal bars, how many metal bars are there in all?",14,Multiplication,14,True,majority,1.0,4,4,1.0,0,False,,{'14': 4},Step 1: 2 × 7 = ?,ASDIV,QWEN
13,guided,13,Sara bought decorations for her party. She paid $5 for balloons and $18 for tablecloths. She also spent $9 for streamers. She paid the cashier and got $8 back How much money did Sara give to the cashier?,40,Addition,23,False,coin_flip,0.25,1,4,0.25,3,True,False,"{'23': 1, '40': 1, '30': 1, '32': 1}",Step 1: Total cost of items + Remaining amount = ?,ASDIV,QWEN
