,mode,idx,question,gt_answer,op_type,final_answer,correct,strategy,confidence,correct_votes,total_votes,vote_consistency,wasted_votes,refiner_used,refiner_correct,vote_counts,plan,fineTunedOn,guideModel
0,guided,0,"He also has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?",441,Multiplication,441,True,majority,0.6,3,5,0.6,2,False,,"{'49': 2, '441': 3}","Step 1: Booklets * Pages per booklet = Total pages
Step 2: Multiply 49 * 9 =
Step 3: Result of multiplication =?",SVAMP,LAMA-3.2-3B
1,guided,1,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree How many more flew up to the tree?,13,Subtraction,71,False,coin_flip,0.1667,1,6,0.1667,5,True,False,"{'71': 1, '35.5': 1, '16': 1, '8': 1, '13': 1, '29': 1}","Step 1: Initial - Final = 29 - 42 =
Step 2: Subtract 29 from both sides of equation to isolate negative value, but since that doesn't make sense here we will do it as given initially.
Step 3: Since we can't subtract a larger number from smaller one directly so let's break this into two parts:
   First part: Birds that already existed (29)
   Second part: Additional new birds coming (42 -?) where '?' represents unknown quantity of new birds coming.
However since we know that some birds came and now there are 42 we need to find out how much was added which would give us our answer.
So correct approach should be:
Step 1: New arrivals + Existing birds = Total birds Now
Step 2: Rearrange formula for finding just ""New Arrivals""
Step 3: Solve for ""New Arrivals"" using known values.",SVAMP,LAMA-3.2-3B
2,guided,2,Terry cut a rope 35 inches long into two pieces in the ratio 3:4 What is the length of the longer piece?,20,Multi-step,7,False,majority,0.8,1,5,0.2,1,False,,"{'20': 1, '7': 4}","Step 1: Total parts = 3 + 4 = 7
Step 2: Each part's value = 35 / 7 = 5
Step 3: Longer piece's length = 4 * 5 =?",SVAMP,LAMA-3.2-3B
3,guided,3,"Ramon works at the supermarket. He put 26 boxes of Choco Delights on the shelf. There were already 15 boxes there. Later that day, Ramon counted 22 boxes on the shelf How many boxes of Choco Delights were missing?",19,Multi-step,26,False,majority,0.6,0,5,0.0,2,False,,"{'22': 1, '26': 3, '41': 1}","Step 1: Initial + Final = Total initially + Total left
Step 2: Initial - Final
Step 3: 26 + 15 - 22",SVAMP,LAMA-3.2-3B
4,guided,4,My ice cream shop was really busy today. It was 98 degrees and we sold 67 ice cream cones. We sold 15 more milkshakes than ice cream cones How many milkshakes were sold?,82,Addition,67,False,majority,0.4,0,5,0.0,3,False,,"{'67': 2, '15': 1, '30': 1, '41': 1}","Step 1: Cones + Additional items = Total sales
Step 2: Add extra milkshake quantity to cone count
Step 3: Resulting total * 2 (since they sold twice as much)",SVAMP,LAMA-3.2-3B
5,guided,5,"My car gets 20 miles per gallon of gas. If Grandma's house is 100 miles away, how many gallons of gas would it take to get to her house?",5,Division,5,True,majority,1.0,5,5,1.0,0,False,,{'5': 5},"Step 1: Distance / Miles per gallon = Total gallons needed
Step 2: 100 / 20 =
Step 3: 5",SVAMP,LAMA-3.2-3B
6,guided,6,"It usually takes Stanley 10 hours to go around his two favorite places. If he took 10 times longer than the usual, how many hours did it take him to go around the places this time?",100,Multiplication,110,False,majority,0.6,1,5,0.2,2,False,,"{'110': 3, '100': 1, '200': 1}","Step 1: Time taken at normal pace * 10 = 10 * 10 =
Step 2: Normal time + Extra time added = 10 + 100 =?",SVAMP,LAMA-3.2-3B
7,guided,7,"Roger is at the library helping put away books. There are fifty-four book to put away total but a librarian takes nineteen of them and leaves Roger with the rest. If he can fit five books on a shelf, how many shelves will he need?",7,Division,7,True,majority,0.6,3,5,0.6,2,False,,"{'7': 3, '54': 1, '35': 1}","Step 1: Total books - Books taken by librarian = Remaining books
Step 2: Divide remaining books by books per shelf =? ÷ 5
Step 3: Result =?",SVAMP,LAMA-3.2-3B
8,guided,8,"They also prepared some chips. If he prepared 350 grams of chips and his father prepared 268 grams, how much chips should his brother prepare if they are to have 800 grams of chips?",182,Subtraction,800,False,majority,0.6,0,5,0.0,2,False,,"{'532': 2, '800': 3}","Step 1: Father's + Brother's = Total
Step 2: Known amounts added together: 268 + x = 800
Step 3: Solve for unknown amount (x): x = 532",SVAMP,LAMA-3.2-3B
9,guided,9,"Paul was packing up his old toys. He managed to squeeze eight toys into a box. If Paul filled up four boxes, how many toys did he pack total?",32,Multiplication,32,True,majority,1.0,5,5,1.0,0,False,,{'32': 5},"Step 1: Number of boxes * Toym per box = Total toys
Step 2: 4 * 8 =
Step 3: = 32",SVAMP,LAMA-3.2-3B
