,mode,idx,question,gt_answer,op_type,final_answer,correct,strategy,confidence,correct_votes,total_votes,vote_consistency,wasted_votes,refiner_used,refiner_correct,vote_counts,plan,fineTunedOn,guideModel
0,guided,0,"He also has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?",441,Multiplication,450,False,coin_flip,0.3333,1,3,0.3333,2,True,False,"{'450': 1, '45': 1, '441': 1}","Step 1: Booklet pages * Number of booklets = Total pages
         9 * 49 = ?",SVAMP,QWEN
1,guided,1,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree How many more flew up to the tree?,13,Subtraction,13,True,majority,1.0,4,4,1.0,0,False,,{'13': 4},"Step 1: Given + More = Total
         29 + ? = 42",SVAMP,QWEN
2,guided,2,Terry cut a rope 35 inches long into two pieces in the ratio 3:4 What is the length of the longer piece?,20,Multi-step,7,False,majority,0.75,1,4,0.25,1,False,,"{'7': 3, '20': 1}",Step 1: Total parts = 3 + 4 = ?,SVAMP,QWEN
3,guided,3,"Ramon works at the supermarket. He put 26 boxes of Choco Delights on the shelf. There were already 15 boxes there. Later that day, Ramon counted 22 boxes on the shelf How many boxes of Choco Delights were missing?",19,Multi-step,41,False,coin_flip,0.4,2,5,0.4,3,True,False,"{'41': 2, '19': 2, '0': 1}","Step 1: Initial_boxes + Added_boxes = Remaining_boxes
         15 + 26 = ?",SVAMP,QWEN
4,guided,4,My ice cream shop was really busy today. It was 98 degrees and we sold 67 ice cream cones. We sold 15 more milkshakes than ice cream cones How many milkshakes were sold?,82,Addition,82,True,majority,1.0,4,4,1.0,0,False,,{'82': 4},Step 1: Sold + Additional Milkshakes = 67 + 15 = ?,SVAMP,QWEN
5,guided,5,"My car gets 20 miles per gallon of gas. If Grandma's house is 100 miles away, how many gallons of gas would it take to get to her house?",5,Division,5,True,majority,1.0,5,5,1.0,0,False,,{'5': 5},Step 1: Distance / Miles Per Gallon = 100 / 20 = ?,SVAMP,QWEN
6,guided,6,"It usually takes Stanley 10 hours to go around his two favorite places. If he took 10 times longer than the usual, how many hours did it take him to go around the places this time?",100,Multiplication,100,True,majority,0.75,3,4,0.75,1,False,,"{'100': 3, '20': 1}",Step 1: Usual Time * 10 = 10 * 10 = ?,SVAMP,QWEN
7,guided,7,"Roger is at the library helping put away books. There are fifty-four book to put away total but a librarian takes nineteen of them and leaves Roger with the rest. If he can fit five books on a shelf, how many shelves will he need?",7,Division,35,False,majority,0.8,1,5,0.2,1,False,,"{'35': 4, '7': 1}",Step 1: Total left for Roger = 54 - 19 = ?,SVAMP,QWEN
8,guided,8,"They also prepared some chips. If he prepared 350 grams of chips and his father prepared 268 grams, how much chips should his brother prepare if they are to have 800 grams of chips?",182,Subtraction,618,False,majority,0.6667,0,3,0.0,1,False,,"{'618': 2, '500': 1}",Step 1: 350 + 268 = ?,SVAMP,QWEN
9,guided,9,"Paul was packing up his old toys. He managed to squeeze eight toys into a box. If Paul filled up four boxes, how many toys did he pack total?",32,Multiplication,32,True,majority,1.0,5,5,1.0,0,False,,{'32': 5},Step 1: 8 × 4 =,SVAMP,QWEN
10,guided,10,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles How many did she start with?,53,Subtraction,-53,False,coin_flip,0.3333,1,3,0.3333,2,True,True,"{'-53': 1, '187': 1, '53': 1}","Step 1: Bought - Now = Started With
   134 - 187 = ?",SVAMP,QWEN
11,guided,11,On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week How many stickers did Pat have at the end of the week?,61,Addition,61,True,majority,1.0,4,4,1.0,0,False,,{'61': 4},Step 1: 39 + 22 =,SVAMP,QWEN
12,guided,12,"For the roof, John would need 2 sets of metal bars for support. If each set has 7 metal bars, how many metal bars are there in all?",14,Multiplication,14,True,majority,1.0,4,4,1.0,0,False,,{'14': 4},Step 1: 2 × 7 = ?,SVAMP,QWEN
13,guided,13,Sara bought decorations for her party. She paid $5 for balloons and $18 for tablecloths. She also spent $9 for streamers. She paid the cashier and got $8 back How much money did Sara give to the cashier?,40,Addition,40,True,coin_flip,0.25,1,4,0.25,3,True,False,"{'40': 1, '13': 1, '27': 1, '32': 1}","Step 1: Expenses + Remaining = Given Back
   $5 (balloons) + $18 (tablecloths) + $9 (streamers) + $8 (remaining) = ?",SVAMP,QWEN
14,guided,14,Lou's Shoes must sell 80 pairs of shoes each month. They sold 27 pairs last week and 12 pairs this week How many more pairs of shoes must they sell?,41,Multi-step,41,True,majority,1.0,3,3,1.0,0,False,,{'41': 3},"Step 1: Sold_last_week + Sold_this_week = ?  
Step 2: Monthly_target - (Sold_last_week + Sold_this_week) = ?",SVAMP,QWEN
15,guided,15,Radio station Z-100 was giving away a $100 bill to every 100th caller during a contest and gave Jingle Ball tickets to every 40th caller How many callers must call before someone wins both a $100 bill and a Jingle Ball ticket?,200,Multi-step,200,True,majority,1.0,3,3,1.0,0,False,,{'200': 3},Step 1: Least Common Multiple (LCM) of 100 and 40 = ?,SVAMP,QWEN
16,guided,16,"Tommy had some balloons. His mom gave him 34 more balloons for his birthday. Then, Tommy had 60 balloons How many balloons did Tommy have to start with?",26,Subtraction,60,False,majority,0.6,1,5,0.2,2,False,,"{'60': 3, '26': 1, '94': 1}","Step 1: Given + Received = Started With
       34 + ? = 60",SVAMP,QWEN
17,guided,17,"Virginia has 40 bananas and 4 marbles. If she shares the bananas among 40 friends, how many bananas does each friend get?",1,Division,1,True,majority,1.0,4,4,1.0,0,False,,{'1': 4},Step 1: Total bananas ÷ Number of friends = 40 ÷ 40 = ?,SVAMP,QWEN
18,guided,18,"A farmer bought 164 rabbits. If the farmer wanted to fill 17 cages with the same number of rabbits, how many more rabbits should the farmer buy?",6,Subtraction,15,False,coin_flip,0.2,0,5,0.0,4,True,False,"{'15': 1, '-138': 1, '0': 1, '9': 1, '7': 1}",Step 1: Total_needed / Cages - Current = ?,SVAMP,QWEN
19,guided,19,"Roger had sixty-three dollars. If he spent forty-eight bucks on a new game, how many three dollar toys could he buy with the money he had left?",5,Division,15,False,majority,1.0,0,2,0.0,0,False,,{'15': 2},Step 1: 63 - 48 = ?,SVAMP,QWEN
20,guided,20,"Billy bought five boxes of books at a yard sale. If each box had seven books, how many books did he buy?",35,Multiplication,35,True,majority,1.0,3,3,1.0,0,False,,{'35': 3},Step 1: 5 × 7 =,SVAMP,QWEN
21,guided,21,Annette and Caitlin weigh 95 pounds together. Caitlin and Sara weigh 87 pounds together How much more does Annette weigh than Sara?,8,Subtraction,8,True,majority,1.0,3,3,1.0,0,False,,{'8': 3},Step 1: Annette + Caitlin - (Caitlin + Sara) = ?,SVAMP,QWEN
22,guided,22,Rachel picked three apples from her tree. Now the tree has four apples still on it How many apples did the tree have to begin with?,7,Addition,7,True,majority,1.0,4,4,1.0,0,False,,{'7': 4},"Step 1: Picked + Remaining = ? 
       3 + 4 = ?",SVAMP,QWEN
23,guided,23,22 students are going on a field trip and 18 students are staying at school What is the ratio of the number of students who are going on the field trip to the number of students who are staying at school?,11,Multi-step,4,False,majority,1.0,0,4,0.0,0,False,,{'4': 4},Step 1: 22 - 18 = ?,SVAMP,QWEN
24,guided,24,3 owls were sitting on the fence. 2 more owls joined them How many owls are on the fence now?,5,Addition,5,True,majority,1.0,4,4,1.0,0,False,,{'5': 4},Step 1: 3 + 2 = ?,SVAMP,QWEN
25,guided,25,"Ron and Chanarong had breakfast at a cafe. Muffins cost $2 each, and fruit cups cost $2 each. Ron had 1 muffin and 2 fruit cups. Chanarong had 1 muffin and 2 fruit cups How much did their breakfast cost?",12,Addition,4,False,majority,0.8,0,5,0.0,1,False,,"{'4': 4, '2': 1}",Step 1: 2 + 2 = ?,SVAMP,QWEN
26,guided,26,Adam could fit nine action figures on each shelf in his room. His room has three shelves How many action figures total could his shelves hold?,27,Multiplication,27,True,majority,1.0,5,5,1.0,0,False,,{'27': 5},Step 1: 9 × 3 =,SVAMP,QWEN
27,guided,27,"A man is thrice as old as his son. After 12 years, he will be twice as old as his son Find their present ages.",36,Multi-step,12,False,majority,0.6667,0,3,0.0,1,False,,"{'24': 1, '12': 2}","Step 1: Man's age now (M) - Son's age now (S) = 3(S)
Step 2: M + 12 = 2(S + 12)",SVAMP,QWEN
28,guided,28,"In a telephone poll, 7 people said they like shopping and 20 people said they do not like shopping What is the ratio of the number of people who do not like shopping to the number of people who like shopping?",20,Multi-step,7,False,refiner_tiebreak,0.5,1,4,0.25,2,True,False,"{'20': 1, '7': 2, '27': 1}",Step 1: 20 : 7 = ?,SVAMP,QWEN
29,guided,29,Mrs. Hilt bought a notebook for $1.30. She paid with nickels How many nickels did she use to buy the notebook?,26,Multi-step,26,True,majority,1.0,2,2,1.0,0,False,,{'26': 2},Step 1: $1.30 ÷ 0.05 = ?,SVAMP,QWEN
30,guided,30,A comic book costs 37 cents. The store owner reversed the digits by mistake. He wrote that number on the comic book How much did the store owner overcharge his customer?,36,Multi-step,36,True,coin_flip,0.25,1,4,0.25,3,True,False,"{'36': 1, '73': 1, '0.36': 1, '37': 1}",Step 1: Reversed Digit Price - Original Price = ?,SVAMP,QWEN
31,guided,31,Mary is baking a cake. The recipe calls for 9 cups of flour and 3 cups of sugar. She already put in 2 cups of flour How many more cups of flour does she need to add ?,7,Subtraction,7,True,majority,1.0,4,4,1.0,0,False,,{'7': 4},Step 1:  Needed Flour - Added Flour = 9 - 2 = ?,SVAMP,QWEN
32,guided,32,"Before reaching the mountains, Stanley stopped over a car shop to buy new tires for the road. If he bought four tires each for $60.00, how much did he spend for tires in total?",240,Multiplication,240,True,coin_flip,0.3333,1,3,0.3333,2,True,False,"{'240': 1, '24': 1, '4': 1}",Step 1: 4 × $60.00 = $?,SVAMP,QWEN
33,guided,33,"At the end of the party, Mona gave away some souvenirs to her 6 closest friends. If each of them received 2 souvenir items, how many souvenirs did Mona give away?",12,Multiplication,12,True,majority,0.6667,2,3,0.6667,1,False,,"{'12': 2, '6': 1}",Step 1: 2 × 6 = ?,SVAMP,QWEN
34,guided,34,"A clown needed two hundred twenty-seven balloons for a party he was going to, but the balloons only came in packs of two How many packs of balloons would he need to buy?",114,Division,103.5,False,majority,0.6667,0,3,0.0,1,False,,"{'103.5': 2, '104': 1}",Step 1: 207 ÷ 2 = ?,SVAMP,QWEN
35,guided,35,"Being his favorite, Michael has 4 times more flying robots than Tom. If Tom has 3 flying robots, how many flying robots does Michael have?",12,Multiplication,12,True,majority,1.0,4,4,1.0,0,False,,{'12': 4},Step 1:  Favorite#Michael's Robots = 4 * Tom's Robots = 4 * 3 = ?,SVAMP,QWEN
36,guided,36,The third angle of a triangle is the same size as the first. The second angle is 4 times the third Find the measure of the angles.,30,Multi-step,180,False,majority,1.0,0,3,0.0,0,False,,{'180': 3},"Step 1: Third angle = First angle
Step 2: Second angle = 4 × Third angle",SVAMP,QWEN
37,guided,37,A is two years older than B. A's father D is twice as old as A and B is twice old as his sister C. The ages of D and C differ by 40 years Find the ages of A and B.,26,Multi-step,40,False,majority,0.6,0,5,0.0,2,False,,"{'40': 3, '2': 1, '8': 1}","Step 1: A - B = 2
Step 2: D - A = 40",SVAMP,QWEN
38,guided,38,Miki bought 4 packs of red bouncy balls and 3 packs of yellow bouncy balls. Each package contained 7 bouncy balls How many more packs of red bouncy balls than yellow bouncy balls did Miki buy?,1,Subtraction,2,False,majority,1.0,0,1,0.0,0,False,,{'2': 1},Step 1: 4Packs - 3 Packs = ?,SVAMP,QWEN
39,guided,39,Joy will see her grandma in two days How many hours until she sees her?,48,Multiplication,48,True,majority,0.75,3,4,0.75,1,False,,"{'48': 3, '168': 1}",Step 1: 2 days * 24 hrs/day = ?,SVAMP,QWEN
40,guided,40,"Adam put eighteen items in the shopping cart. After deleting some, he had eight left How many items did Adam delete?",10,Subtraction,10,True,majority,0.6,3,5,0.6,2,False,,"{'10': 3, '8': 2}","Step 1: Total_initial - Deleted = Remaining
          18 - ? = 8",SVAMP,QWEN
41,guided,41,"Ned was helping the cafeteria workers pick up lunch trays, but he could only carry eight trays at a time. If he had to pick up twenty-seven trays from one table and five trays from another, how many trips will he make?",4,Division,32,False,majority,0.6,0,5,0.0,2,False,,"{'32': 3, '7': 1, '24': 1}",Step 1: 27 + 5 = ?,SVAMP,QWEN
42,guided,42,"Allen, Charles, Lex and Shiela spent days reading books for their book report. The texts were printed very small so they were only able to cover very few pages a day. Allen read about the Solar System. He read 10 pages a day of a book which has 120 pages How many days did it take Allen to finish reading the book?",12,Division,12,True,coin_flip,0.5,1,2,0.5,1,True,False,"{'12': 1, '120': 1}",Step 1: Total pages / Pages per day = 120 ÷ 10 = ?,SVAMP,QWEN
43,guided,43,"A restaurant needs to buy three hundred eighty-seven new plates. If each box has five plates in it, how many boxes will they need to buy?",78,Division,77,False,majority,0.5,0,4,0.0,2,False,,"{'77': 2, '76': 1, '387': 1}",Step 1: 387 ÷ 5 = ?,SVAMP,QWEN
44,guided,44,"The exit door leads to a river 487 inches across, if the bridge he needs to cross is only 295 inches, how much longer does he need to build if he wants to cross the river using the bridge?",192,Subtraction,192,True,majority,1.0,1,1,1.0,0,False,,{'192': 1},Step 1: Need_to_build = River_width - Bridge_length = ?,SVAMP,QWEN
45,guided,45,"Sam invited 9 friends to a birthday party, but 6 couldn't come. If he wanted to buy enough cupcakes so each person could have exactly 2, how many should he buy?",6,Multiplication,3,False,majority,0.75,1,4,0.25,1,False,,"{'3': 3, '6': 1}","Step 1: Total invited - Couldn't come = ?  
       9 - 6 = ?

Then multiply by 2 for cupcakes per person:
Step 2: [Result from Step 1] * 2 = ?",SVAMP,QWEN
46,guided,46,"A P.E. teacher needs to divide 14 male students and 7 female students into teams, each with the same combination of male students and female students and nobody left out What is the greatest number of teams that can be formed?",7,Multi-step,2,False,majority,0.6667,1,3,0.3333,1,False,,"{'2': 2, '7': 1}",Step 1: 14 M / 7 F = ?,SVAMP,QWEN
47,guided,47,A lab technician cuts a 12 inch piece of tubing into two pieces in such a way that one piece is 2 times longer than the other How long are the pieces?,4,Multi-step,12,False,majority,1.0,0,1,0.0,0,False,,{'12': 1},Step 1: x + 2x = 12,SVAMP,QWEN
48,guided,48,Divide 39 balloons into 7 equal groups How many balloons are there in each group?,5,Division,5,True,refiner_tiebreak,0.6667,2,3,0.6667,1,True,True,"{'35': 1, '5': 2}",Step 1: 39 ÷ 7 = ?,SVAMP,QWEN
