,mode,idx,question,gt_answer,final_answer,correct,strategy,confidence,correct_votes,total_votes,vote_consistency,wasted_votes,refiner_used,refiner_correct,vote_counts,plan,fineTunedOn,guideModel
0,guided,1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left How many fishes disappeared?,4,15,False,majority,0.4,1,5,0.2,3,False,,"{'4': 1, '15': 2}",Step 1: Total initial fish - Remaining fish = 7 goldfish + 12 catfish - 15 = ?,SVAMP,QWEN
1,guided,2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds How much did his dad's strawberries weigh now?,16,,False,refiner_tiebreak,0.6667,0,6,0.0,2,True,False,"{'': 4, '52': 1, '82': 1}","Step 1: Collected + Found = Dad's Original Weight
              22 + 30 = ?",SVAMP,QWEN
2,guided,3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,,False,refiner_tiebreak,0.6667,0,6,0.0,2,True,False,"{'-308': 1, '456': 1, '': 4}",Step 1: 4 - 312 =,SVAMP,QWEN
3,guided,4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,80,False,majority,0.6,0,5,0.0,2,False,,"{'80': 3, '26': 1}",Step 1: Spent - Showroom = ?,SVAMP,QWEN
4,guided,6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,35,False,coin_flip,0.3333,0,6,0.0,4,True,False,"{'35': 2, '': 2, '24': 1, '9': 1}",Step 1: 10 + 11 = 21,SVAMP,QWEN
5,guided,7,26 children were riding on the bus. At the bus stop 38 more children got on the bus How many children are on the bus now?,64,64,True,majority,0.4,2,5,0.4,3,False,,{'64': 2},Step 1: 38 + 26 =,SVAMP,QWEN
6,guided,8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday How many cookies did Helen bake till last night?,450,450,True,majority,0.6,3,5,0.6,2,False,,"{'450': 3, '580': 1}",Step 1: Yesterday's cookies + Day before yesterday's cookies = ?,SVAMP,QWEN
7,guided,9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges How many oranges will they have after 87 days of harvest?,143550,,False,coin_flip,0.3333,0,6,0.0,4,True,False,"{'': 2, '1650': 2, '14': 1, '16.5': 1}",Step 1: 66 sacks/day * 25 oranges/sack = ?,SVAMP,QWEN
8,guided,10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute How many minutes did the machine work yesterday?,3,,False,refiner_tiebreak,0.3333,0,6,0.0,4,True,False,"{'': 2, '1720': 1, '-35': 1, '11.67': 1, '53': 1}",Step 1: 9 - Today's production = Yesterday's production in mins,SVAMP,QWEN
9,guided,11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,460,460,True,majority,0.4,2,5,0.4,3,False,,"{'460': 2, '560': 1}","Step 1: Magazines per shelf × Number of shelves = Total magazines
          46 × 10 = ?",SVAMP,QWEN
10,guided,12,Dave had 17 apps on his phone. After adding some he had 18 left How many apps did he add?,1,1,True,majority,0.8,4,5,0.8,1,False,,"{'1': 4, '17': 1}",Step 1: Added = Total_now - Initial = ?,SVAMP,QWEN
11,guided,13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6 How much money did he spend buying the candy bar and chocolate?,13,13,True,majority,0.8,4,5,0.8,1,False,,"{'13': 4, '14': 1}",Step 1: Candy Bar + Chocolate = $?,SVAMP,QWEN
