,mode,idx,question,gt_answer,final_answer,correct,strategy,confidence,correct_votes,total_votes,vote_consistency,wasted_votes,refiner_used,refiner_correct,vote_counts,plan,fineTunedOn,guideModel
0,guided,0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,27,True,majority,0.8,4,5,0.8,1,False,,"{'62': 1, '27': 4}",Step 1: 62 - 35 = ?,GSM8K,QWEN
1,guided,1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left How many fishes disappeared?,4,,False,refiner_tiebreak,0.5,1,6,0.1667,3,True,False,"{'20': 1, '4': 1, '': 3, '19': 1}",Step 1: Paige's initial total - Remaining total = 7 + 12 - 15 = ?,GSM8K,QWEN
2,guided,2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds How much did his dad's strawberries weigh now?,16,52,False,majority,0.2,0,5,0.0,4,False,,{'52': 1},"Step 1: Collected + Found = Dad's Collected
                22 + 30 = ?",GSM8K,QWEN
3,guided,3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,252,False,majority,1.0,0,5,0.0,0,False,,{'252': 5},Step 1: 256 - 4 = ?,GSM8K,QWEN
4,guided,4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,80,False,majority,0.4,1,5,0.2,3,False,,"{'80': 2, '31': 1, '106': 1}","Step 1: Spent - Showroom = Supermarket
         106 - 26 = 80 - 49 = ?",GSM8K,QWEN
5,guided,5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row How many pencils does she have?,720,720,True,majority,1.0,5,5,1.0,0,False,,{'720': 5},Step 1: Pencils per row × Rows = 24 × 30 = ?,GSM8K,QWEN
6,guided,6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,,False,refiner_tiebreak,0.5,0,6,0.0,3,True,False,"{'45': 1, '': 3, '69': 1, '35': 1}",Step 1: 45 - 11 = 34,GSM8K,QWEN
7,guided,7,26 children were riding on the bus. At the bus stop 38 more children got on the bus How many children are on the bus now?,64,64,True,majority,0.6,3,5,0.6,2,False,,{'64': 3},Step 1: 38 + 26 = 64,GSM8K,QWEN
8,guided,8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday How many cookies did Helen bake till last night?,450,450,True,majority,0.8,4,5,0.8,1,False,,{'450': 4},"Step 1: Yesterday's cookies + Day before yesterday's cookies = ?  
31 + 419 = ?",GSM8K,QWEN
9,guided,9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges How many oranges will they have after 87 days of harvest?,143550,1650,False,majority,0.4,0,5,0.0,3,False,,"{'1650': 2, '144150': 1}","Step 1: 66 × 25 = ?  
Step 2: Answer × 87 = ?",GSM8K,QWEN
