,mode,idx,question,gt_answer,final_answer,correct,strategy,confidence,correct_votes,total_votes,vote_consistency,wasted_votes,refiner_used,refiner_correct,vote_counts,plan,fineTunedOn,guideModel
0,guided,0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,27,True,majority,0.8,4,5,0.8,1,False,,{'27': 4},"Step 1: Africa - Asia = 62 - 35 =
Step 2: Answer = 27",GSM8k,LAMA-3.2-3B
1,guided,1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left How many fishes disappeared?,4,19,False,majority,0.6,2,5,0.4,2,False,,"{'4': 2, '19': 3}","Step 1: Total fish initially - Fish left = 7 + 12 - 15 
Step 2: 19 - 15",GSM8k,LAMA-3.2-3B
2,guided,2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds How much did his dad's strawberries weigh now?,16,30,False,majority,0.6,0,5,0.0,2,False,,"{'30': 3, '-6': 2}","Step 1: Dad's initial + Found = Total 
     0 (initial) + 30 = 30 

Step 2: Subtract Marco's weight from total to find Dad's current weight 
     30 - 36 =?",GSM8k,LAMA-3.2-3B
3,guided,3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,64,True,majority,0.8,4,5,0.8,1,False,,"{'136': 1, '64': 4}","Step 1: Soda bottles / Daily consumption of soda bottles = 256 ÷ 4 
Step 2: Result = 64",GSM8k,LAMA-3.2-3B
4,guided,4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,155,False,coin_flip,0.3333,0,6,0.0,4,True,False,"{'155': 2, '8': 2, '106': 2}","Step 1: Total money initially + Money spent at showroom = Initial amount of money 
= 106 + 49 =?

Step 2: Subtract initial amount from total to find out how much was spent at the supermarket 
=? - 155",GSM8k,LAMA-3.2-3B
5,guided,5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row How many pencils does she have?,720,720,True,majority,0.4,2,5,0.4,3,False,,"{'1800': 1, '720': 2, '21600': 1, '10': 1}","Step 1: Pencils per row * Total rows = 24 * 30 
Step 2: Multiply to find total pencils = 720",GSM8k,LAMA-3.2-3B
6,guided,6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,17.5,False,majority,0.6,0,5,0.0,2,False,,"{'17.5': 3, '10': 1, '-11': 1}","Step 1: Ed's initial marbles - Doug's initial marbles = 45 - x 
Step 2: Since Ed has 10 more marbles than Doug initially, we can write an equation to represent this relationship:
   (Ed's initial marbles) - (Doug's initial marbles) = 10
   So, 45 - x - x = 10
Step 3: Solve for x by combining like terms and isolating x on one side of the equation.
   45 - 2x = 10
   Subtract 45 from both sides: -2x = -35
   Divide both sides by -2: x = 17.5",GSM8k,LAMA-3.2-3B
7,guided,7,26 children were riding on the bus. At the bus stop 38 more children got on the bus How many children are on the bus now?,64,64,True,majority,0.8,4,5,0.8,1,False,,"{'64': 4, '80': 1}","Step 1: Initial + Additional = Total
     26 + 38 =
Step 2: 
     26 + 38 = 64",GSM8k,LAMA-3.2-3B
8,guided,8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday How many cookies did Helen bake till last night?,450,689,False,majority,0.6,0,5,0.0,2,False,,"{'689': 3, '1369': 1, '688': 1}","Step 1: Yesterday + This Morning = Total Cookies Baked 
                          270 + 419 =?

Step 2: Add Yesterday + Day Before Yesterday
                      419 + 270 =?",GSM8k,LAMA-3.2-3B
9,guided,9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges How many oranges will they have after 87 days of harvest?,143550,1650,False,majority,0.8,0,5,0.0,1,False,,"{'143250': 1, '1650': 4}","Step 1: Sacks * Oranges/sack = Total oranges/day 
       66 * 25 =?

Step 2: Total oranges/day * Days = Total oranges
       (66 * 25) * 87 =?",GSM8k,LAMA-3.2-3B
10,guided,10,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute How many minutes did the machine work yesterday?,3,3,True,majority,0.6,3,5,0.6,2,False,,"{'44': 1, '3': 3}","Step 1: Yesterday's production / Rate = Total time 
       9 / 3 =?

Step 2: Simplify 
     9 / 3 = 3",GSM8k,LAMA-3.2-3B
11,guided,11,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,460,506,False,majority,0.6,2,5,0.4,2,False,,"{'460': 2, '506': 3}","Step 1: Magazines per shelf * Number of shelves = 46 * 10 
Step 2: Total magazines = 460",GSM8k,LAMA-3.2-3B
12,guided,12,Dave had 17 apps on his phone. After adding some he had 18 left How many apps did he add?,1,1,True,refiner_tiebreak,0.3333,2,6,0.3333,4,True,True,"{'': 1, '0': 1, '17': 1, '1': 2, '35': 1}","Step 1: Initial - Added = 17 - x 
Step 2: Result = 17 - x",GSM8k,LAMA-3.2-3B
13,guided,13,Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6 How much money did he spend buying the candy bar and chocolate?,13,13,True,majority,0.8,4,5,0.8,1,False,,"{'6007': 1, '13': 4}","Step 1: Candy Bar + Chocolate = $7 + $6 =
Step 2: Total Cost = $7 + $6",GSM8k,LAMA-3.2-3B
14,guided,14,The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,2,2,True,majority,1.0,5,5,1.0,0,False,,{'2': 5},"Step 1: Total bananas / Number of groups = 392 ÷ 196 
Step 2: Answer = 392 ÷ 196",GSM8k,LAMA-3.2-3B
15,guided,15,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,369,369,True,majority,1.0,5,5,1.0,0,False,,{'369': 5},"Step 1: Depth - Current depth = Cave depth - Starting depth 
= 1218 - 849 

Step 2: Subtract",GSM8k,LAMA-3.2-3B
16,guided,16,The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,5,5,True,majority,1.0,5,5,1.0,0,False,,{'5': 5},"Step 1: Total capacity / Number of seats = Capacity per seat 
     20 / 4 =?

Step 2: Answer = 5",GSM8k,LAMA-3.2-3B
17,guided,17,A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,136,136,True,majority,0.6,3,5,0.6,2,False,,"{'124': 2, '136': 3}","Step 1: Tomatoes - Picked = Remaining Tomatoes 
          177 - 53 =?

Step 2: Potatoes + Remaining Tomatoes = Total Remaining
          12 + (177 - 53)",GSM8k,LAMA-3.2-3B
18,guided,18,Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection How many bottle caps did danny have at first?,91,91,True,majority,0.6,3,5,0.6,2,False,,"{'157': 1, '91': 3, '25': 1}","Step 1: Lost + Current = Total 
       66 + 25 =?

Step 2: Answer = 91",GSM8k,LAMA-3.2-3B
19,guided,19,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening How many emails did Jack receive in the afternoon and evening?",13,17,False,majority,0.6,0,5,0.0,2,False,,"{'17': 3, '9': 1}","Step 1: Morning + Afternoon = Total 
   4 + 5 =
Step 2: Add Evening to total 
    9 + 8",GSM8k,LAMA-3.2-3B
20,guided,20,Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies How many sweet cookies did Paco have left?,7,7,True,majority,0.6,3,5,0.6,2,False,,"{'22': 2, '7': 3}","Step 1: Initial sweet cookies - eaten sweet cookies = 22 - 15 =
Step 2: Answer = 7",GSM8k,LAMA-3.2-3B
21,guided,21,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars How much did they make per day?,33,33,True,majority,0.8,4,5,0.8,1,False,,{'33': 4},"Step 1: Total earnings / Number of days = Amount per day 
       165 ÷ 5 =?",GSM8k,LAMA-3.2-3B
22,guided,22,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left How many files did he delete?,3,3,True,majority,0.8,4,5,0.8,1,False,,"{'3': 4, '24': 1}","Step 1: Files deleted = Total files - Remaining files 
= 24 - 21 

Step 2: Answer = 24 - 21",GSM8k,LAMA-3.2-3B
23,guided,23,In a school there are 569 girls and 236 boys How many more girls than boys does the school have?,333,333,True,majority,0.4,2,5,0.4,3,False,,"{'571': 1, '333': 2, '332': 1}","Step 1: Girls - Boys = 569 - 236 =
Step 2: Answer = 333",GSM8k,LAMA-3.2-3B
24,guided,24,Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,22,22,True,majority,1.0,5,5,1.0,0,False,,{'22': 5},"Step 1: Number of eggs per group * Number of groups = Total eggs 
   2 * x =?

Step 2: Since we know there are 11 groups (implied by ""split into groups""), 
    2 * 11 =? 

Step 3: Multiply 2 and 11",GSM8k,LAMA-3.2-3B
