,mode,idx,question,gt_answer,final_answer,correct,strategy,confidence,correct_votes,total_votes,vote_consistency,wasted_votes,refiner_used,refiner_correct,vote_counts,plan,fineTunedOn,guideModel
0,guided,0,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,6,False,majority,0.6,1,5,0.2,2,False,,"{'6': 3, '27': 1}","Step 1: Africa - Asia =? (Subtracting the two groups)
Step 2: Result of subtraction =?",SVAMP,LAMA-3.2-3B
1,guided,1,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left How many fishes disappeared?,4,19,False,majority,0.6,2,5,0.4,2,False,,"{'4': 2, '19': 3}","Step 1: Initial amount of fish = Goldfish + Catfish = 7 + 12 =
Step 2: Disappeared = Initial amount - Remaining = (7 + 12) - 15 =?",SVAMP,LAMA-3.2-3B
2,guided,2,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds How much did his dad's strawberries weigh now?,16,52,False,majority,0.4,0,5,0.0,3,False,,"{'52': 2, '30': 1, '0': 1, '-8': 1}","Step 1: Dad's initial weight + Found weight = Total weight initially
Step 2: Initial total - Marco's share = Dad's current weight
Step 3: (Dad's initial weight + Found weight) - Marco's share = Dad's current weight",SVAMP,LAMA-3.2-3B
3,guided,3,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,14,False,majority,0.4,1,5,0.2,3,False,,"{'14': 2, '312': 1, '64': 1, '45': 1}","Step 1: Soda bottles initially - Soda bottles drunk per day = Remaining soda bottles.
Step 2: Divide by daily consumption rate to find out how long it will last in terms of days.
Step 3: Not required as we only need the time period.",SVAMP,LAMA-3.2-3B
4,guided,4,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,57,False,refiner_tiebreak,0.3333,0,6,0.0,4,True,False,"{'57': 2, '106': 1, '179': 1, '49': 1, '129': 1}","Step 1: Initial amount + Amount spent at showroom = Total initial amount
Step 2: Subtracting the remaining money with what was initially present to find out how much was spent at the supermarket
Step 3: New calculation using previous results (not necessary)",SVAMP,LAMA-3.2-3B
5,guided,5,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row How many pencils does she have?,720,70,False,majority,0.4,0,5,0.0,3,False,,"{'63700': 1, '71': 1, '70': 2, '2130': 1}","Step 1: Crayons per row * Total rows = Pencils per row
Step 2: Multiply by total number of rows to find all pencils
Step 3: (Crayons per row) x (Total rows) = 71 x 30",SVAMP,LAMA-3.2-3B
6,guided,6,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,10,False,majority,0.4,0,5,0.0,3,False,,"{'20': 1, '10': 2, '45': 1, '35': 1}","Step 1: Initial difference between their marble count = Ed's initial marbles - Doug's initial marbles = 45 - x
Step 2: Since Ed has 10 more marbles initially, we know that x = 35 (because if he started with 10 less than Doug and ended up with 45).
Step 3: Now calculate how much more Ed has now compared to what it was initially for comparison purposes only; Not necessary in this case as we already determined the value of ""x"". So skip this step.",SVAMP,LAMA-3.2-3B
7,guided,7,26 children were riding on the bus. At the bus stop 38 more children got on the bus How many children are on the bus now?,64,64,True,majority,1.0,5,5,1.0,0,False,,{'64': 5},"Step 1: Initial + New arrivals = Total
Step 2: 26 + 38 =
Step 3: 64",SVAMP,LAMA-3.2-3B
8,guided,8,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday How many cookies did Helen bake till last night?,450,419,False,majority,0.6,0,5,0.0,2,False,,"{'301': 1, '419': 3, '1378': 1}","Step 1: Yesterday + Day Before Yesterday = Today
Step 2: Add Yesterday's amount to Today's amount
Step 3: Add Day Before Yesterday's amount to sum of previous two amounts",SVAMP,LAMA-3.2-3B
9,guided,9,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges How many oranges will they have after 87 days of harvest?,143550,5736,False,majority,0.6,0,5,0.0,2,False,,"{'230.8': 1, '87': 1, '5736': 3}","Step 1: Daily production * Number of days = Total oranges produced
Step 2: Total oranges produced / Oranges per sack = Total sacks collected
Step 3: Total sacks collected * Oranges per sack =?",SVAMP,LAMA-3.2-3B
