,mode,idx,question,gt_answer,op_type,final_answer,correct,strategy,confidence,correct_votes,total_votes,vote_consistency,wasted_votes,refiner_used,refiner_correct,vote_counts,plan,fineTunedOn,guideModel
0,guided,1,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree How many more flew up to the tree?,13,Subtraction,-13,False,majority,0.8,0,5,0.0,1,False,,"{'-13': 4, '29': 1}","Step 1: Initial - Final =? 
     29 - 42 =?",GSM8k,LAMA-3.2-3B
1,guided,2,Terry cut a rope 35 inches long into two pieces in the ratio 3:4 What is the length of the longer piece?,20,Multi-step,20,True,coin_flip,0.3333,2,6,0.3333,4,True,False,"{'2000': 1, '20': 2, '7': 2, '35': 1}","Step 1: Total parts = 3 + 4 = 7
Step 2: Longer part = (4/7) * 35 = 20",GSM8k,LAMA-3.2-3B
2,guided,3,"Ramon works at the supermarket. He put 26 boxes of Choco Delights on the shelf. There were already 15 boxes there. Later that day, Ramon counted 22 boxes on the shelf How many boxes of Choco Delights were missing?",19,Multi-step,19,True,majority,0.6,3,5,0.6,2,False,,"{'19': 3, '26': 1, '41': 1}","Step 1: Total initial + Initial = 26 + 15 =
Step 2: Subtracting what was left from total =?",GSM8k,LAMA-3.2-3B
3,guided,4,My ice cream shop was really busy today. It was 98 degrees and we sold 67 ice cream cones. We sold 15 more milkshakes than ice cream cones How many milkshakes were sold?,82,Addition,1,False,majority,0.4,0,5,0.0,3,False,,"{'67': 1, '1': 2, '1225': 1, '1.22': 1}","Step 1: Ice Cream Cones + Additional Milkshake Sales = Total Items Sold
Step 2: Total Items Sold / Number of Ice Cream Cones = Number of Milkshakes Sold
Step 3: (Ice Cream Cones + 15) / Ice Cream Cones = Number of Milkshakes Sold",GSM8k,LAMA-3.2-3B
4,guided,5,"My car gets 20 miles per gallon of gas. If Grandma's house is 100 miles away, how many gallons of gas would it take to get to her house?",5,Division,5,True,majority,0.6,3,5,0.6,2,False,,"{'5': 3, '20': 2}","Step 1: Distance / Miles Per Gallon = Total Gallons Needed
Step 2: 100 ÷ 20 =?",GSM8k,LAMA-3.2-3B
5,guided,6,"It usually takes Stanley 10 hours to go around his two favorite places. If he took 10 times longer than the usual, how many hours did it take him to go around the places this time?",100,Multiplication,100,True,majority,0.5,2,4,0.5,2,False,,"{'100': 2, '50': 1, '110': 1}","Step 1: Usual time * 10 = 10 * 10 =? 
Step 2: Usual time + Extra time = 10 + 100 =?",GSM8k,LAMA-3.2-3B
6,guided,7,"Roger is at the library helping put away books. There are fifty-four book to put away total but a librarian takes nineteen of them and leaves Roger with the rest. If he can fit five books on a shelf, how many shelves will he need?",7,Division,7,True,majority,0.8,4,5,0.8,1,False,,"{'7': 4, '35': 1}","Step 1: Total books - Books taken out = Remaining books
Step 2: Remaining books / Books per shelf = Number of shelves",GSM8k,LAMA-3.2-3B
7,guided,8,"They also prepared some chips. If he prepared 350 grams of chips and his father prepared 268 grams, how much chips should his brother prepare if they are to have 800 grams of chips?",182,Subtraction,800,False,majority,0.4,1,5,0.2,3,False,,"{'450': 1, '182': 1, '800': 2, '180': 1}","Step 1: Total - Father's portion + Brother's unknown = 800
Step 2: (350 + x) + 268 = 800
Step 3: 618 + x = 800",GSM8k,LAMA-3.2-3B
8,guided,9,"Paul was packing up his old toys. He managed to squeeze eight toys into a box. If Paul filled up four boxes, how many toys did he pack total?",32,Multiplication,32,True,majority,1.0,5,5,1.0,0,False,,{'32': 5},"Step 1: Number of boxes * Number of toys per box = Total number of toys
Step 2: 4 * 8 =?",GSM8k,LAMA-3.2-3B
9,guided,10,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles How many did she start with?,53,Subtraction,187,False,majority,0.6,2,5,0.4,2,False,,"{'53': 2, '187': 3}","Step 1: Current - Bought = Had initially
Step 2: 187 - 134 =?",GSM8k,LAMA-3.2-3B
10,guided,11,On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week How many stickers did Pat have at the end of the week?,61,Addition,61,True,majority,0.5,2,4,0.5,2,False,,"{'22': 1, '123': 1, '61': 2}","Step 1: Initial amount + Earned = Total
Step 2: Total + Remaining = Final amount
Step 3: (Initial amount + Earned) + Remaining = Final amount
OR:
Step 1: Initial amount + New total = Final amount
Step 2: New total + Previous total = Final amount
OR:
Step 1: Current amount + Additional amount = New total
Step 2: New total + Original amount = Final amount",GSM8k,LAMA-3.2-3B
11,guided,12,"For the roof, John would need 2 sets of metal bars for support. If each set has 7 metal bars, how many metal bars are there in all?",14,Multiplication,14,True,majority,0.8,4,5,0.8,1,False,,"{'2': 1, '14': 4}","Step 1: Sets * Bars per Set = Total Bars
Step 2: 2 * 7 =?",GSM8k,LAMA-3.2-3B
12,guided,13,Sara bought decorations for her party. She paid $5 for balloons and $18 for tablecloths. She also spent $9 for streamers. She paid the cashier and got $8 back How much money did Sara give to the cashier?,40,Addition,32,False,coin_flip,0.3333,0,6,0.0,4,True,False,"{'32': 2, '24': 2, '23': 1, '5': 1}","Step 1: Total cost of items purchased + Change received = Cost of all purchases + Amount given to cashier
Step 2: Total amount spent (balloons + tablecloths + streamers) - Change received = Total amount given to cashier
Step 3: ($5 + $18 + $9) - $8 =?",GSM8k,LAMA-3.2-3B
13,guided,14,Lou's Shoes must sell 80 pairs of shoes each month. They sold 27 pairs last week and 12 pairs this week How many more pairs of shoes must they sell?,41,Multi-step,39,False,refiner_tiebreak,0.3333,1,6,0.1667,4,True,False,"{'41': 1, '39': 2, '65': 1, '40': 1, '80': 1}","Step 1: Total required - Sold so far = 80 - (27 + 12) 
Step 2: Total required - Sold so far = 80 - 39",GSM8k,LAMA-3.2-3B
14,guided,15,Radio station Z-100 was giving away a $100 bill to every 100th caller during a contest and gave Jingle Ball tickets to every 40th caller How many callers must call before someone wins both a $100 bill and a Jingle Ball ticket?,200,Multi-step,40,False,coin_flip,0.3333,1,6,0.1667,4,True,True,"{'400': 1, '40': 2, '5': 2, '200': 1}","Step 1: Find LCM (Least Common Multiple) of 100 & 40 =?

Step 2: Divide LCM by smaller value (40).",GSM8k,LAMA-3.2-3B
15,guided,16,"Tommy had some balloons. His mom gave him 34 more balloons for his birthday. Then, Tommy had 60 balloons How many balloons did Tommy have to start with?",26,Subtraction,26,True,refiner_tiebreak,0.3333,2,6,0.3333,4,True,True,"{'60': 1, '-6': 1, '34': 1, '0': 1, '26': 2}","Step 1: Initial amount + Additional amount = Total amount
Step 2: Total amount - Final amount = Initial amount
Step 3: 60 - 34 =?",GSM8k,LAMA-3.2-3B
16,guided,17,"Virginia has 40 bananas and 4 marbles. If she shares the bananas among 40 friends, how many bananas does each friend get?",1,Division,1,True,majority,0.8,4,5,0.8,1,False,,"{'1': 4, '40': 1}","Step 1: Total items to share / Number of people sharing = Bananas per person
Step 2: 40 ÷ 40 =?",GSM8k,LAMA-3.2-3B
17,guided,18,"A farmer bought 164 rabbits. If the farmer wanted to fill 17 cages with the same number of rabbits, how many more rabbits should the farmer buy?",6,Subtraction,9.588,False,coin_flip,0.1667,1,6,0.1667,5,True,True,"{'9.588': 1, '2728': 1, '3': 1, '9.6471': 1, '164': 1, '6': 1}","Step 1: Total rabbits / Cages per cage = Remaining rabbits needed
Step 2: Total rabbits - Remaining rabbits needed",GSM8k,LAMA-3.2-3B
18,guided,19,"Roger had sixty-three dollars. If he spent forty-eight bucks on a new game, how many three dollar toys could he buy with the money he had left?",5,Division,5,True,majority,0.6,3,5,0.6,2,False,,"{'5': 3, '15': 1, '63': 1}","Step 1: Initial amount - Cost of game = $63 - $48 =
Step 2: Remaining money / Price per toy = $15 / $3 =?",GSM8k,LAMA-3.2-3B
19,guided,20,"Billy bought five boxes of books at a yard sale. If each box had seven books, how many books did he buy?",35,Multiplication,35,True,majority,0.5,2,4,0.5,2,False,,"{'35': 2, '25': 1, '175': 1}","Step 1: Number of boxes * Number of books per box = Total number of books
Step 2: 5 * 7 =?",GSM8k,LAMA-3.2-3B
20,guided,21,Annette and Caitlin weigh 95 pounds together. Caitlin and Sara weigh 87 pounds together How much more does Annette weigh than Sara?,8,Subtraction,95,False,coin_flip,0.3333,0,6,0.0,4,True,False,"{'5': 1, '95': 2, '182': 2, '94': 1}","Step 1: Annette + Caitlin = 95 + 87 =
Step 2: (Annette + Caitlin) - Caitlin = 182 - 87 =",GSM8k,LAMA-3.2-3B
21,guided,22,Rachel picked three apples from her tree. Now the tree has four apples still on it How many apples did the tree have to begin with?,7,Addition,4,False,majority,0.4,0,5,0.0,3,False,,"{'4': 2, '3': 1, '2.5': 1, '-3': 1}","Step 1: Apples taken + Remaining apples = Total initial apples
Step 2: 3 + x = Total initial apples
Step 3: Subtracting known values (apples taken) from both sides of equation gives us:
x = Total initial apples - 3",GSM8k,LAMA-3.2-3B
22,guided,23,22 students are going on a field trip and 18 students are staying at school What is the ratio of the number of students who are going on the field trip to the number of students who are staying at school?,11,Multi-step,22,False,refiner_tiebreak,0.5,0,4,0.0,2,True,False,"{'22': 2, '0.7333': 1, '1.1': 1}","Step 1: Number of students going on the field trip / Total number of students = 22/Total number of students
Step 2: Simplify fraction if possible (not required in this case)",GSM8k,LAMA-3.2-3B
23,guided,24,3 owls were sitting on the fence. 2 more owls joined them How many owls are on the fence now?,5,Addition,3,False,refiner_tiebreak,0.5,1,6,0.1667,3,True,False,"{'5': 1, '3': 3, '8': 2}","Step 1: Initial owls + New owls = Total owls
Step 2: 3 + 2 =?",GSM8k,LAMA-3.2-3B
24,guided,25,"Ron and Chanarong had breakfast at a cafe. Muffins cost $2 each, and fruit cups cost $2 each. Ron had 1 muffin and 2 fruit cups. Chanarong had 1 muffin and 2 fruit cups How much did their breakfast cost?",12,Addition,6,False,majority,0.5,1,4,0.25,2,False,,"{'6': 2, '2': 1, '12': 1}","Step 1: Cost of Ron's items = Price per muffin * Quantity of muffins + Price per cup * Quantity of cups
               = $2 * 1 + $2 * 2
Step 2: Simplify expression for Ron's total
               = $2 + $4
Step 3: Add cost of Chanarong's items to find overall cost
               = ($2 + $4) + ($2 * 1 + $2 * 2)
               = ($2 + $4) + ($2 + $4)
               = $8 + $6
               = $14",GSM8k,LAMA-3.2-3B
25,guided,26,Adam could fit nine action figures on each shelf in his room. His room has three shelves How many action figures total could his shelves hold?,27,Multiplication,27,True,majority,1.0,5,5,1.0,0,False,,{'27': 5},"Step 1: Number of shelves * Number of action figures per shelf = Total capacity
Step 2: 3 * 9 =?",GSM8k,LAMA-3.2-3B
26,guided,27,"A man is thrice as old as his son. After 12 years, he will be twice as old as his son Find their present ages.",36,Multi-step,8,False,coin_flip,0.5,0,2,0.0,1,True,False,"{'8': 1, '59.73': 1}","Step 1: Let's represent the current age of the father with variable ""x"". Since the father is thrice as old as his son, we can express this relationship in an equation:
Father's Age = Son's Age * 3
x = y

Step 2: In 12 years, both will have increased by 12 each. So we add 12 to both sides of our original equation:
x + 12 = (y + 12) * 3

Step 3: Expand right side of the new equation:
x + 12 = 3y + 36",GSM8k,LAMA-3.2-3B
27,guided,28,"In a telephone poll, 7 people said they like shopping and 20 people said they do not like shopping What is the ratio of the number of people who do not like shopping to the number of people who like shopping?",20,Multi-step,13,False,majority,0.6,0,5,0.0,2,False,,"{'13': 3, '4': 1, '1.86': 1}","Step 1: Not Like - Like = 20 - 7 =
Step 2: Ratio = (Not Like : Like) = 20 : 7",GSM8k,LAMA-3.2-3B
28,guided,29,Mrs. Hilt bought a notebook for $1.30. She paid with nickels How many nickels did she use to buy the notebook?,26,Multi-step,104,False,coin_flip,0.1667,0,6,0.0,5,True,False,"{'104': 1, '23': 1, '230': 1, '5.2': 1, '13': 1, '1': 1}","Step 1: Price of notebook / Value per nickel = Total amount in cents
Step 2: Convert dollars to cents and divide by value of one cent (5) 
Step 3: Divide result from step 2 by cost per nickel ($0.05).",GSM8k,LAMA-3.2-3B
29,guided,30,A comic book costs 37 cents. The store owner reversed the digits by mistake. He wrote that number on the comic book How much did the store owner overcharge his customer?,36,Multi-step,0.16,False,coin_flip,0.1667,0,6,0.0,5,True,False,"{'0.16': 1, '650.5': 1, '-36': 1, '73': 1, '63': 1, '92': 1}","Step 1: Original price (reversed) = 53 cents
Step 2: Difference between original and incorrect prices = 100 - 53 =?",GSM8k,LAMA-3.2-3B
30,guided,31,Mary is baking a cake. The recipe calls for 9 cups of flour and 3 cups of sugar. She already put in 2 cups of flour How many more cups of flour does she need to add ?,7,Subtraction,7,True,majority,0.8,4,5,0.8,1,False,,"{'7': 4, '5': 1}","Step 1: Required - Used = Total needed
Step 2: 9 - 2 =?",GSM8k,LAMA-3.2-3B
31,guided,32,"Before reaching the mountains, Stanley stopped over a car shop to buy new tires for the road. If he bought four tires each for $60.00, how much did he spend for tires in total?",240,Multiplication,4,False,refiner_tiebreak,0.6,2,5,0.4,2,True,False,"{'240': 2, '4': 3}","Step 1: Number of tires * Price per tire = Total cost
Step 2: 4 * $60.00 =?",GSM8k,LAMA-3.2-3B
32,guided,33,"At the end of the party, Mona gave away some souvenirs to her 6 closest friends. If each of them received 2 souvenir items, how many souvenirs did Mona give away?",12,Multiplication,12,True,majority,0.8,4,5,0.8,1,False,,"{'12': 4, '14': 1}","Step 1: Number of people * Items per person = Total given away
Step 2: 6 * 2 =?",GSM8k,LAMA-3.2-3B
33,guided,34,"A clown needed two hundred twenty-seven balloons for a party he was going to, but the balloons only came in packs of two How many packs of balloons would he need to buy?",114,Division,113.5,False,majority,0.5,0,4,0.0,2,False,,"{'113.5': 2, '227': 1, '500': 1}",Step 1: Total needed / Pack size = 227 ÷ 2 =?,GSM8k,LAMA-3.2-3B
34,guided,35,"Being his favorite, Michael has 4 times more flying robots than Tom. If Tom has 3 flying robots, how many flying robots does Michael have?",12,Multiplication,12,True,majority,0.75,3,4,0.75,1,False,,"{'12': 3, '3': 1}","Step 1: Tom's flying robots * 4 =? (multiplication)
Step 2: Result + 3 =? (addition)",GSM8k,LAMA-3.2-3B
35,guided,36,The third angle of a triangle is the same size as the first. The second angle is 4 times the third Find the measure of the angles.,30,Multi-step,180,False,majority,0.5,0,4,0.0,2,False,,"{'180': 2, '0': 1, '210': 1}","Step 1: Let x represent the unknowns for all three angles.
Step 2: Since it's given that ""the third angle is the same size"" as the first, we can set up an equation where x = x (first and third).
Step 3: It's also stated that ""the second angle is four times"" the third; therefore, we have another relationship between these two variables which will allow us to solve them together. We'll express this in terms of one variable since they're equal. If y represents the second angle then y = 4x because it's four times larger than the third.",GSM8k,LAMA-3.2-3B
36,guided,37,A is two years older than B. A's father D is twice as old as A and B is twice old as his sister C. The ages of D and C differ by 40 years Find the ages of A and B.,26,Multi-step,2,False,coin_flip,0.25,0,4,0.0,3,True,False,"{'2': 1, '12': 1, '-19': 1, '0.5': 1}","Step 1: Let x represent A's age; then D's age will be (x + 2) since he is 2 times older than A.
Step 2: Since D is also 40 more than C, we can express this relationship in terms of x for both D and C:
D = x + 2
C = ((x+2)-40)
Simplifying it further,
C = x -38
Step 3: We know that B is half the age of C so we set up an equation to solve for x:
B=(x/2).",GSM8k,LAMA-3.2-3B
