,mode,idx,question,gt_answer,op_type,final_answer,correct,strategy,confidence,correct_votes,total_votes,vote_consistency,wasted_votes,refiner_used,refiner_correct,vote_counts,plan,fineTunedOn,guideModel
0,guided,0,"He also has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?",441,Multiplication,441,True,majority,1.0,4,4,1.0,0,False,,{'441': 4},"Step 1: Booklets * Pages per booklet = Total pages 
Step 2: 49 * 9 =?",ASDIV,LAMA-3.2-3B
1,guided,1,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree How many more flew up to the tree?,13,Subtraction,29,False,majority,0.6000000000000001,0,5,0.0,2,False,,"{'-13': 2, '29': 3}","Step 1: Initial - Final = 29 - 42 
Step 2: Answer = -13",ASDIV,LAMA-3.2-3B
2,guided,2,Terry cut a rope 35 inches long into two pieces in the ratio 3:4 What is the length of the longer piece?,20,Multi-step,20,True,majority,0.8,4,5,0.8,1,False,,"{'20': 4, '7': 1}","Step 1: Total parts = 3 + 4 = 7 
Step 2: Longer part = (4/7) * 35 = 20",ASDIV,LAMA-3.2-3B
3,guided,3,"Ramon works at the supermarket. He put 26 boxes of Choco Delights on the shelf. There were already 15 boxes there. Later that day, Ramon counted 22 boxes on the shelf How many boxes of Choco Delights were missing?",19,Multi-step,41,False,coin_flip,0.33330000000000004,2,6,0.33330000000000004,4,True,0.0,"{'41': 2, '26': 1, '19': 2, '22': 1}","Step 1: Total boxes initially + Boxes already present = 26 + 15 = 
Step 2: Subtract total boxes counted later from initial total = (26 + 15) - 22 =?",ASDIV,LAMA-3.2-3B
4,guided,4,My ice cream shop was really busy today. It was 98 degrees and we sold 67 ice cream cones. We sold 15 more milkshakes than ice cream cones How many milkshakes were sold?,82,Addition,82,True,majority,0.75,3,4,0.75,1,False,,"{'164': 1, '82': 3}","Step 1: Ice cream cones + 15 = Total milkshakes 
Step 2: 67 + 15 =?",ASDIV,LAMA-3.2-3B
5,guided,5,"My car gets 20 miles per gallon of gas. If Grandma's house is 100 miles away, how many gallons of gas would it take to get to her house?",5,Division,5,True,majority,0.8,4,5,0.8,1,False,,"{'5': 4, '0.5': 1}","Step 1: Distance / Miles per Gallon = Total Gallons 
       100 / 20 =? 

Step 2: 5",ASDIV,LAMA-3.2-3B
6,guided,6,"It usually takes Stanley 10 hours to go around his two favorite places. If he took 10 times longer than the usual, how many hours did it take him to go around the places this time?",100,Multiplication,100,True,majority,0.8,4,5,0.8,1,False,,"{'100': 4, '110': 1}","Step 1: Usual time * 10 = 10 * 10 = 
Step 2: Total time = usual time + extra time = 100 + 10 =",ASDIV,LAMA-3.2-3B
7,guided,7,"Roger is at the library helping put away books. There are fifty-four book to put away total but a librarian takes nineteen of them and leaves Roger with the rest. If he can fit five books on a shelf, how many shelves will he need?",7,Division,7,True,majority,0.8,4,5,0.8,1,False,,"{'35': 1, '7': 4}","Step 1: Total books - Books taken by librarian = Remaining books
54 - 19 = 35

Step 2: Remaining books / Books per shelf = Number of shelves
35 ÷ 5 =?",ASDIV,LAMA-3.2-3B
8,guided,8,"They also prepared some chips. If he prepared 350 grams of chips and his father prepared 268 grams, how much chips should his brother prepare if they are to have 800 grams of chips?",182,Subtraction,800,False,majority,1.0,0,5,0.0,0,False,,{'800': 5},"Step 1: Total - Father's amount + Brother's amount = 800 
         350 + x = 800 

Step 2: Subtract Father's amount from both sides
         350 + x - 350 = 800 - 350 
          x = 450",ASDIV,LAMA-3.2-3B
9,guided,9,"Paul was packing up his old toys. He managed to squeeze eight toys into a box. If Paul filled up four boxes, how many toys did he pack total?",32,Multiplication,32,True,majority,0.8,4,5,0.8,1,False,,"{'32': 4, '40': 1}","Step 1: Number of toys per box * Total number of boxes = 8 * 4 =
Step 2: 8 * 4 =",ASDIV,LAMA-3.2-3B
10,guided,10,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles How many did she start with?,53,Subtraction,53,True,majority,0.5,2,4,0.5,2,False,,"{'53': 2, '187': 1, '0': 1}","Step 1: Bought + Starting = 134 + x 
Step 2: Total = 187 
Step 3: 134 + x = 187",ASDIV,LAMA-3.2-3B
11,guided,11,On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week How many stickers did Pat have at the end of the week?,61,Addition,61,True,majority,1.0,5,5,1.0,0,False,,{'61': 5},"Step 1: Initial stickers + Earned stickers = Total stickers 
     39 + 22 =?

Step 2: Answer = 61",ASDIV,LAMA-3.2-3B
12,guided,12,"For the roof, John would need 2 sets of metal bars for support. If each set has 7 metal bars, how many metal bars are there in all?",14,Multiplication,14,True,majority,1.0,5,5,1.0,0,False,,{'14': 5},"Step 1: Sets * Bars per Set = Total Bars
       2 * 7 =?

Step 2: 
     2 * 7 = 14",ASDIV,LAMA-3.2-3B
13,guided,13,Sara bought decorations for her party. She paid $5 for balloons and $18 for tablecloths. She also spent $9 for streamers. She paid the cashier and got $8 back How much money did Sara give to the cashier?,40,Addition,40,True,majority,0.5,2,4,0.5,2,False,,"{'49': 1, '40': 2, '38': 1}","Step 1: Total cost of items purchased + Cost of change received 
= (Balloons + Tablecloths + Streamers) + Change 

Step 2: Subtract total cost from total amount given to cashier
= ($5 + $18 + $9) + $8",ASDIV,LAMA-3.2-3B
14,guided,14,Lou's Shoes must sell 80 pairs of shoes each month. They sold 27 pairs last week and 12 pairs this week How many more pairs of shoes must they sell?,41,Multi-step,41,True,majority,0.8,4,5,0.8,1,False,,"{'41': 4, '39': 1}","Step 1: Total to be sold - Sold so far = 80 - (27 + 12) 
Step 2: 80 - 39",ASDIV,LAMA-3.2-3B
15,guided,15,Radio station Z-100 was giving away a $100 bill to every 100th caller during a contest and gave Jingle Ball tickets to every 40th caller How many callers must call before someone wins both a $100 bill and a Jingle Ball ticket?,200,Multi-step,800,False,coin_flip,0.16670000000000001,0,6,0.0,5,True,0.0,"{'800': 1, '100': 1, '0': 1, '80': 1, '2.5': 1, '1000': 1}","Step 1: LCM (Least Common Multiple) of 100 and 40 = 
Step 2: LCM(100, 40) = 200 

Note: The least common multiple represents the smallest number that can be divided by both 100 and 40 without leaving a remainder.",ASDIV,LAMA-3.2-3B
16,guided,16,"Tommy had some balloons. His mom gave him 34 more balloons for his birthday. Then, Tommy had 60 balloons How many balloons did Tommy have to start with?",26,Subtraction,60,False,majority,0.4,0,5,0.0,3,False,,"{'60': 2, '34': 1, '94': 1, '30': 1}","Step 1: Total - Added = Had initially 
     60 - 34 =?

Step 2: Answer = 26",ASDIV,LAMA-3.2-3B
17,guided,17,"Virginia has 40 bananas and 4 marbles. If she shares the bananas among 40 friends, how many bananas does each friend get?",1,Division,1,True,majority,1.0,5,5,1.0,0,False,,{'1': 5},"Step 1: Total bananas / Number of friends = 40 ÷ 40 
Step 2: Simplified division = 1",ASDIV,LAMA-3.2-3B
