file,combo,benchmark,idx,question_preview,gt_answer,guided_final_answer,baseline_final_answer,guided_confidence,baseline_confidence,vote_consistency,refiner_used,refiner_correct,plan_present,step_count,correct_vote_present,root_cause,guided_vote_counts,baseline_vote_counts
week04_Adnan/results/ARC-CHALLENGE/results_ARC_CHALLENGE_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,ARC_CHALLENGE,23,A class plans an investigation to see which brand of light bulb lasts the longest. Which of these steps should come first?  Options: A) Repeat the investigation. B) Write a report of the results. C) Make a table for reco,C,D,C,1.0,1.0,0.0,False,False,True,1,False,step_quality_issue,"{""D"": 5}","{""C"": 5}"
week04_Adnan/results/ARC-CHALLENGE/results_ARC_CHALLENGE_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,ARC_CHALLENGE,30,"Beavers build their homes in ponds and streams. Which characteristic is least critical to building homes in an aquatic environment?  Options: A) waterproof fur B) webbed hind feet C) large, sharp teeth D) flat, wide tail",C,D,C,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""D"": 5}","{""C"": 5}"
week04_Adnan/results/ARC-CHALLENGE/results_ARC_CHALLENGE_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,ARC_CHALLENGE,47,The students in a class would like to make 20 paper sailboats for a race. The students will select one design and collect the materials they need to construct the boats. Which of the following is the best way for the stu,A,D,A,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""D"": 5}","{""A"": 5}"
week04_Adnan/results/ARC-CHALLENGE/results_ARC_CHALLENGE_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,ARC_CHALLENGE,50,Scientists present the results of their investigations to others for review because  Options: A) people need to be informed about the scientific process. B) data often supports more than one explanation. C) it deters oth,B,D,B,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""D"": 5}","{""B"": 5}"
week04_Adnan/results/ARC-CHALLENGE/results_ARC_CHALLENGE_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,ARC_CHALLENGE,53,A hypothesis is included in a scientific investigation because it  Options: A) makes the conclusion accurate. B) describes the variable. C) states the problem. D) reports the results.,C,B,C,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""B"": 5}","{""C"": 5}"
week04_Adnan/results/ARC-CHALLENGE/results_ARC_CHALLENGE_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,ARC_CHALLENGE,59,Joshua studied the organisms living in a seaside ecosystem. Which do all animals at a beach need for survival?  Options: A) sand B) producers C) salt water D) sea shells,B,C,B,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""C"": 5}","{""B"": 5}"
week04_Adnan/results/ARC-CHALLENGE/results_ARC_CHALLENGE_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,ARC_CHALLENGE,69,Coal-powered plants are designed specifically to convert  Options: A) electrical energy to heat energy. B) chemical energy to electrical energy. C) electrical energy to radiant energy. D) kinetic energy to potential ener,B,A,B,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""A"": 5}","{""B"": 5}"
week04_Adnan/results/ARC-CHALLENGE/results_ARC_CHALLENGE_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,ARC_CHALLENGE,7,Which tool would be the most helpful in an investigation of the life cycle of a monarch butterfly?  Options: A) a sharp knife B) a magnifying glass C) a long piece of string D) a large jar with air holes in the top,D,B,D,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""B"": 5}","{""D"": 5}"
week04_Adnan/results/COMMONSENSE_QA/results_COMMONSENSEQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,COMMONSENSEQA,24,Where can you store you spare linens near your socks?  Options: A) hospital B) chest C) home D) dresser drawers E) cabinet,D,A,D,1.0,1.0,0.0,False,False,True,1,False,step_quality_issue,"{""A"": 5}","{""D"": 5}"
week04_Adnan/results/COMMONSENSE_QA/results_COMMONSENSEQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,COMMONSENSEQA,29,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?  Options: A) maryland B) indiana C) on tv D) park E) new jersey",B,C,B,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""C"": 5}","{""B"": 5}"
week04_Adnan/results/COMMONSENSE_QA/results_COMMONSENSEQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,COMMONSENSEQA,51,What do humans do to other humans after death?  Options: A) celebrate B) burial C) life D) rebirth E) decomposition,B,E,B,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""E"": 5}","{""B"": 5}"
week04_Adnan/results/COMMONSENSE_QA/results_COMMONSENSEQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,COMMONSENSEQA,7,Where is a bird likely to make it's home?  Options: A) forest B) nest C) roof D) leaves E) sky,A,B,A,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""B"": 5}","{""A"": 5}"
week04_Adnan/results/COMMONSENSE_QA/results_COMMONSENSEQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,COMMONSENSEQA,85,What are people likely to want to do with their friends?  Options: A) own land B) own home C) talk to each other D) believe in god E) spend time,E,C,E,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""C"": 5}","{""E"": 5}"
week04_Adnan/results/PIQA/SAMPLE_100/results_PIQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,PIQA,12,Goal: a sponge  Which solution is more physically correct or practical?  A) can clean a car properly B) can clean teeth properly,A,B,A,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""B"": 5}","{""A"": 5}"
week04_Adnan/results/PIQA/SAMPLE_100/results_PIQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,PIQA,22,Goal: A spit  Which solution is more physically correct or practical?  A) cooks carrots B) cooks A whole pig,B,A,B,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""A"": 5}","{""B"": 5}"
week04_Adnan/results/PIQA/SAMPLE_100/results_PIQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,PIQA,41,Goal: Add seed identifiers to new plants.  Which solution is more physically correct or practical?  A) Clip clothespins to planter rims. B) Clip binder clips to planter rims.,A,B,A,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""B"": 5}","{""A"": 5}"
week04_Adnan/results/PIQA/SAMPLE_100/results_PIQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,PIQA,47,Goal: Remove hair from kitchen drain.  Which solution is more physically correct or practical?  A) Pour full 2 liter bottle of coke soda down kitchen drain. B) Pour full 2 liter bottle of club soda down kitchen drain.,A,B,A,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""B"": 5}","{""A"": 5}"
week04_Adnan/results/PIQA/SAMPLE_100/results_PIQA_QWEN2.5-1.5B_100.jsonl,Qwen/Qwen2.5-3B-Instruct -> Qwen/Qwen2.5-1.5B-Instruct,PIQA,62,Goal: How long will it take to cure countertops when redoing a kitchen?  Which solution is more physically correct or practical?  A) The curing process takes at least 10 days during which you will need to do your grindin,A,B,A,1.0,1.0,0.0,False,False,True,2,False,solver_instability_or_sampling,"{""B"": 5}","{""A"": 5}"
